attributions,,
At this point - I don't know. I know I'm not injured anymore but I still have daily pain,possibly weakened muscles due to having this pain all the time?,My previous injury really did cause this pain for this long - but I find that unlikely.
Growing,Sitting,Activity
Sitting,Growing too fast,Not enough core strength
ongoing strain,what I think of as the initiating event - lifting my grandmother,not enough time to care for my body
initial event/injury,schedule/not able to take care of it,lifting etc. at work/school
genetics,bad posture,age
poor posture,possible injury,sleeping in a less than ideal position
poor posture,possible injury,pinched nerve
Herniated disc,Work,Weight gain
thought patterns,weight,job
increased breast after breast feeding,plantar fasciitis,extra weight
natural breast enlargement following breast feeding,plantar fasciitis,extra weight
sports related injury,not getting initial treatment,ongoing stress related to work
injury,stress,not getting treatment following injury
Golf,Anxiety,Basketball
Golf,Stress,Basketball
over use,stress,lack of rest
Stress,Competitive/Athlete Mindset,"Lack of sleep which becomes lack of personal care (exercise, eating well)"
hard work,physical abuse,car accidents
Being a student and sitting in badly-designed chairs for 8-14hrs each day,Wearing non-orthopedic shoes and walking lots anyway,"My desk chair at home is old and offers no support. Also, in order to sit in it and be upright I have to sit cross-legged, which tilts my hips and makes my back hurt. "
genetics,work,stress
genetics,work,stress
sea kayaking incident,poor flexibility and self-care,lack of physical activity
Lifting heavy weights,Improper weight lifting form,Not having a strong enough core/lower back
improper weightlifting,wrestling,car accident
Genetics,Inactivity,Injuries
Neural Pathways,Neural Pathways,Neural Pathways
Sports Related Injury,Over-Use and Lack of Health Maintenance,"Environmental: Stress, Elevation, Changing Weather"
Prior Injury/Incorrect Treatment,Stress and other Environmental Factors,Heredity
Muscle damage from c-sections,lack of core exercise to rebuild strength,running/jogging and not stretching enough afterwards
feeling tense; physically tensing up my body,general fear,feeling uncertain
Scoliosis,Stress,Activity
Stress/tension,Posture,Daily Work
Stress,Muscle tension,Daily movement/activity
age,fall while skiing or snowboarding,stress
not taking care of myself,stress,lack of knowledge about how to manage my pain
body type,age,muscle tone
body type,age,fender bender accident
congenital,gymnastics,car accident
spondylolisthesis,scoliosis,gymnastics and aging
scoliosis,poor posture,sitting too much
Emotions,Stress,Poor posture
Repetitive high to low lifting causing sciatica,Hitting tail bone on a rock,Exercise
Injury while hiking,repetitive high to low lifting,weight training
Fell down my stairs,Fractured my sacrum,"It never healed properly, thus creating ongoing pain."
injury,bad aftercare,unsuccessful treatments
military,fall,poor aftercare
Doing too much at once,Not taking good care of myself,Just happens/part of life
Not paying attention to my feelings/physical state,Unresolved childhood issues,Putting everyone else's needs before my own
scoliosis,stress,posture/school
scoliosis,stress,school
overuse,playing three sports in high school,weight lifting trainer in high school taught us wrong technique for women - we did more weight less reps rather than the latter
overuse,Incorrect physical training in high school,active lifestyle despite pain
sports,skateboarding,work
growing too fast,bad posture,stress
weight,exercise,age
low speed car crash 30 years ago,running 30 miles a week,carrying an extra 10lb !
over-active pain response,stressful schedule/lifestyle,genetics
conditioning,stress/lifestyle,genetics
School,Broken L5,Work
yoga stretch,awkward fall,weakening of muscles
yoga when not prepared,injured playing basketball,sleep on hard surface
Football,Extreme Sports,Bad mattress
Football,Extreme Sports,extended Stationary positions
posture and lack of core strength,sudden movements in sport activities,age
age and sports,accidents,anxiety
sleeping arrangement,stress,fitness
Bed sucks,bed sucks,slacking on back/core day
development from birth,poor posture,sports/gymnastics
stress,anxiety,poor posture
Weight Lifting,Contact Sport,Running
Weight Lifting,Professional Basketball,Long Distance Running
Fall injury,Large breasts,Spine deformity
Fall,Birth defect,Occupation (EMT)
old age,injury,weight
age,weight,heredity
stress,nerve pain,activity
stress,injury,heredity
Muscle weakness,Work/Driving,Stress
Work,Muscle Weakness,Prior injury
injury,snowboarding,posture
Anxiety,Stress,Injury
work injury,inactivity,diet
lifting wrong,not exercising,diet
Old injury,Poor posture,My normal job activities
improper lifting,poor posture,work injury
falling - Ice Skating as a child,falling  down icy steps as a child,age
I don't know what caused it,Stress,Anxiety
snowboard accident,massage school injury (pulling on arms/nerve pain in shoulders and arms),general walking/sitting/backpack lifestyle
snowboarding injury,massage school injury,"general lifestyle (backpack, sitting)"
excess body weight,lack of exercise,work station
Anxiety,Stress,Fear
History of poor posture,Manual Labor,Genetics
Stress,Lack of Stretching,Bad Posture
Development,over-use,genetics
infection,repetitive stress,inflammation
Potential injury (muscular),lumbar spine weakness,fear
sitting at a desk for long periods of time,bad (not enough support) shoes,not stretching after lifting weights
Sitting for long periods of time,Lack of stretching,Bad posture
lack of attention to detail,awareness of long term effects,research
Injury,Stress,Exercise
An initial injury a long time ago that healed,Brain pathways that developed an stayed even after healing,Negative emotions that used the pain pathways  that developed
Genes,poor lifting techniques,lack of education on lifting
injury,overweight,lack of physical activity
Injury,Overuse,Neural pathways
"sports injury- fall from 6 ft. snowboarding, broke 7 ribs",", undiagnosed injury and broken for 3 years, body compensating, overactive nerves",body frame small for large breasts
"traumatic injury from snowboarding accident, broke 7 ribs from fall over 5 feet","body shape, petite with large breasts",overactive nerves
heredity,sitting,sports injuries
curvature of my spine,arthritis,over doing exercise
injury,injury,continual activity
Being very active in life and not always taking care of myself,Genetic predisposition,repeated injury/stress to particular body part/location; similar to 1st most important
Lack of awareness about what was going on in my body,Pushing through the pain when it was indicative of something happening,Believing that the pain would be self-resolving
medical,environmental,hereditary
hereditary,lifestyle,poor posture
misaligned disc,bad posture,sitting for long periods of time
posture,sitting and driving all day for job,lack of upper body strength
"Back/Neck injuries, Auto",Chiropractor,Job related
Injuries,Chiropractor,Job/work
bully,stress,fear
stubbornness,anger,lack of police oversight
childhood trauma,stress,physical imbalance
don't really know,mostly clueless,stress? trauma?
previous activity,current activity,anatomical structure
previous injury,previous use/activity,skeletal structure
Muscle Tension,Stress,Anxiety
pregnancy,3 car accidents in 2005 in 9 month period,heavy lifting & life stress
stress,"pregnancy, childbirth, child rearing",3 car accidents in 2005
recklessness,carelessness,ignorance
injury,not doing exercises,unfit
injury,lack of proper exercise,sitting most of the day
back surgery,lack of strengthening after surgery,years of dancing
fear,multiple surgeries,lack of emotional support
structure of my spine,muscle strength/weakness,inconsistent treatment/exercise
back alignment,lack of treatment early in life,pain with exercise
early back injury,unwillingness to slow down,ageing
early injury,no medical follow-up,"entrenched, too late to do much"
scoliosis,age =  arthritis,injury
structural issues,fear,shame
Physical disconformity,Overuse of body,Poor posture
Overuse,Age,Injury
Auto accident,Auto accident,Auto accident
auto accident,auto accident,auto accident
carelessness,overworking,genetics
Overextension,Neglect,Trauma
Degenerative Disc Disease,Age,Narrowing of the nerve channels
Past back injury,Poor posture at a computer for long hours,"Very hard, extensive alpine skiing"
pushing a car out of the snow 40 years ago,"dancing professionally, being active","weak abdominal wall, carrying twins full term"
pushing a car out of the snow then going to dance class,"weak biomechanics and abdominals, esp. after carrying twins full term",a career in dance
Hang gliding accident,Ski and bike accidents,numerous unnecessary back surgeries
sports accident,unnecessary surgeries,lack of physical exercise
Doing a significant amount of home landscaping (moving tons of rock) when I was younger,Heredity/genetics,stress
"Overuse (home landscaping, moving rock) when I was younger",Genetics,"poor body mechanics (jumping, etc.)"
Injury in college,too much exercise,barre demonstrations in class overworking one side
Previous injury,Injury caused by teaching Zumba,poor sneakers
lifting stuff,activities,diet
lifting stuff,activities,diet
stress,sitting too much,age
sitting too much,stress,age
increase in cycling,aging,heredity
Aging,Changing Exercise Pattern,Hypersensitivity
scoliosis,age,lack of strong core
scoliosis,doing the wrong exercises,doing the wrong activities
herniated disc,pelvic alignment,stress
Stress,Anxiety,Fatigue
Posture,Hereditary,Auto accident (forgot that yesterday)
Automobile accident,Scoliosis,Hereditary
accident,activity,birth defect
injury,degenerative processes,"reduced ability to participate in physical activities and physical routines, and getting out of the habit of regular physical activities"
injury,misalignment,degenerative processes
Sitting over time,Stress,sports
"culture of pain, and many people 'showing' pain around me",perception of potential structural damage,stress as an amplifier
Height?,Bad posture,Physical activity
Height,Posture,Athletics
Genetic predisposition,Moving in a way that exacerbated the issue,Stress and worry that I had when it first began 5 years ago.
Injury,Genetics,Continued use of body part
genetics,past experiences,food and environment and exorcise
mood,outlook on life,anxious
Past sports,Age,Recent activities
Sports injury,Body growth,Age
hit by car,exercise,Lifting
Being hit by a car,aggravating it during exercise,bad posture and poor core strength
Happenstance (A particular injury at a particular time),Psychology,Being extremely active
Being extremely active,Old injuries,Psychological factors
physical movements,pelvic rotation,???
misalignment of SI joints,some physical movements amplify the pain,??
Childhood scoliosis,Epidural,Not lifting correctly and not asking for help
Childhood Scoliosis,Epidural,not asking for help lifting/lifting in correctly
crappy anatomy,stress,too busy to take care of my body properly
Guilt,Stress,Physical issues
Injuries in youth sports Football/Basketball,Bad posture,hard labor jobs in the past
sports injuries,lack of core strength,bad posture in my youth
back injury,osteoarthritis,arthritis in other locations
genetic 10,accident  7,bad luck 1
Ski wreck in 1981,raft accident in 2012,logging accident in 2008
Jet ski accident,High school/college sports,lack of exercise
Jet ski accident,high impact sports,active lifestyle
"sports: Tumbling, distance Running",Work : carrying heavy items,arthritis and genetics
over estimated my own strength,denial of over exertion,weight
Personality,Injury/inherited predisposition,Stress related to family
Personality,Family stress,Structural Damage
childbirth,ongoing activity,residual effects
pregnancy / postpartum,zipline accident,ongoing debilitation from 1st and 2nd factors
"Fractures of  T8 and T10 or T11 and receiving no treatment for them, because they were not diagnosed for 5 years",Weak core muscles,Poor posture from the vertebrae fractures
Undiagnosed fracture,Poor posture from fracture pain,Weak core and abdominal muscles
Over working my back muscles to cause spinal disc to bulge,Ultimate Frisbee,Heavy lifting
I over worked my back lifting kegs at the GABF,"After handling kegs, I went and played ultimate Frisbee where the injury occurred.",I have weak muscles in my back?
